Unnamed: 0,session__sessionId,Experiment,Answer,Type,lvlAfter,lvlBefore,Course
514,709,herd-1,False,herding,4.0,4.0,CS
515,600,herd-1,False,herding,1.0,0.0,CS
516,600,herd-1,True,herding,1.0,0.0,CS
517,600,herd-1,False,herding,1.0,0.0,CS
518,600,herd-1,False,herding,1.0,0.0,CS
519,600,herd-1,False,herding,1.0,0.0,CS
520,1146,herd-1,True,herding,1.0,1.0,CS
521,1146,herd-1,True,herding,1.0,1.0,CS
522,1146,herd-1,True,herding,1.0,1.0,CS
523,1146,herd-1,False,herding,1.0,1.0,CS
524,1146,herd-1,False,herding,1.0,1.0,CS
525,1066,herd-1,True,herding,3.0,2.0,CS
526,1066,herd-1,True,herding,3.0,2.0,CS
527,1066,herd-1,True,herding,3.0,2.0,CS
528,1066,herd-1,True,herding,3.0,2.0,CS
529,1066,herd-1,False,herding,3.0,2.0,CS
530,841,herd-1,False,herding,0.0,0.0,CS
531,841,herd-1,False,herding,0.0,0.0,CS
532,841,herd-1,False,herding,0.0,0.0,CS
533,841,herd-1,False,herding,0.0,0.0,CS
534,841,herd-1,False,herding,0.0,0.0,CS
535,1103,herd-1,True,herding,1.0,1.0,CS
536,1103,herd-1,True,herding,1.0,1.0,CS
537,1103,herd-1,True,herding,1.0,1.0,CS
538,1103,herd-1,True,herding,1.0,1.0,CS
539,1103,herd-1,False,herding,1.0,1.0,CS
540,412,herd-1,True,herding,2.0,1.0,CS
541,412,herd-1,True,herding,2.0,1.0,CS
542,412,herd-1,True,herding,2.0,1.0,CS
543,412,herd-1,True,herding,2.0,1.0,CS
544,412,herd-1,False,herding,2.0,1.0,CS
545,543,herd-1,True,herding,2.0,1.0,CS
546,543,herd-1,True,herding,2.0,1.0,CS
547,543,herd-1,True,herding,2.0,1.0,CS
548,543,herd-1,False,herding,2.0,1.0,CS
549,543,herd-1,False,herding,2.0,1.0,CS
550,1057,herd-1,True,herding,1.0,1.0,CS
551,1057,herd-1,True,herding,1.0,1.0,CS
552,1057,herd-1,False,herding,1.0,1.0,CS
553,1057,herd-1,False,herding,1.0,1.0,CS
554,1057,herd-1,False,herding,1.0,1.0,CS
555,823,herd-1,True,herding,1.0,1.0,CS
556,823,herd-1,True,herding,1.0,1.0,CS
557,823,herd-1,False,herding,1.0,1.0,CS
558,823,herd-1,True,herding,1.0,1.0,CS
559,823,herd-1,False,herding,1.0,1.0,CS
560,369,herd-1,False,herding,1.0,0.0,CS
561,369,herd-1,True,herding,1.0,0.0,CS
562,369,herd-1,False,herding,1.0,0.0,CS
563,369,herd-1,False,herding,1.0,0.0,CS
564,369,herd-1,False,herding,1.0,0.0,CS
565,299,herd-1,True,herding,1.0,2.0,CS
566,299,herd-1,True,herding,1.0,2.0,CS
567,299,herd-1,True,herding,1.0,2.0,CS
568,299,herd-1,True,herding,1.0,2.0,CS
